clip_id,frame_index,method,output_status,wrong_part,box_quality,note
commons-black-cat-walking,0,v1_loose,wrong_part,other,,auto: box does not match reference (or frame not visible)
commons-black-cat-walking,1,v1_loose,correct,,usable,
commons-black-cat-walking,2,v1_loose,correct,,usable,
commons-black-cat-walking,3,v1_loose,correct,,usable,
commons-black-cat-walking,4,v1_loose,correct,,usable,
commons-black-cat-walking,5,v1_loose,correct,,usable,
commons-black-cat-walking,6,v1_loose,correct,,usable,
commons-black-cat-walking,7,v1_loose,correct,,usable,
commons-black-cat-walking,8,v1_loose,correct,,usable,
commons-black-cat-walking,9,v1_loose,correct,,usable,
commons-black-cat-walking,10,v1_loose,correct,,usable,
commons-black-cat-walking,11,v1_loose,correct,,usable,
commons-black-cat-walking,12,v1_loose,correct,,usable,
commons-black-cat-walking,13,v1_loose,correct,,usable,
commons-black-cat-walking,14,v1_loose,correct,,usable,
commons-black-cat-walking,15,v1_loose,correct,,usable,
commons-black-cat-walking,16,v1_loose,correct,,usable,
commons-black-cat-walking,17,v1_loose,correct,,usable,
commons-black-cat-walking,18,v1_loose,correct,,usable,
commons-black-cat-walking,19,v1_loose,correct,,usable,
commons-black-cat-walking,20,v1_loose,correct,,usable,
commons-black-cat-walking,21,v1_loose,correct,,usable,
commons-black-cat-walking,22,v1_loose,correct,,usable,
commons-black-cat-walking,23,v1_loose,correct,,usable,
commons-black-cat-walking,24,v1_loose,correct,,usable,
commons-black-cat-walking,25,v1_loose,correct,,usable,
commons-black-cat-walking,26,v1_loose,correct,,usable,
commons-black-cat-walking,27,v1_loose,correct,,usable,
commons-black-cat-walking,28,v1_loose,correct,,usable,
commons-black-cat-walking,29,v1_loose,correct,,usable,
commons-black-cat-walking,30,v1_loose,correct,,usable,
commons-black-cat-walking,31,v1_loose,no_output,,,temporal_none
commons-black-cat-walking,32,v1_loose,no_output,,,temporal_none
commons-black-cat-walking,33,v1_loose,correct,,usable,
commons-black-cat-walking,34,v1_loose,correct,,usable,
commons-black-cat-walking,35,v1_loose,correct,,usable,
commons-black-cat-walking,36,v1_loose,no_output,,,no_tail_box
commons-black-cat-walking,37,v1_loose,no_output,,,no_cat
commons-cat-jumping-backwards,0,v1_loose,no_output,,,no_cat
commons-cat-jumping-backwards,1,v1_loose,no_output,,,no_cat
commons-cat-jumping-backwards,2,v1_loose,no_output,,,temporal_none
commons-cat-jumping-backwards,3,v1_loose,no_output,,,temporal_none
commons-cat-jumping-backwards,4,v1_loose,no_output,,,no_tail_box
