clip_id,frame_index,method,output_status,wrong_part,box_quality,note
commons-black-cat-walking,0,v2b_union,wrong_part,other,,auto: box does not match reference (or frame not visible)
commons-black-cat-walking,1,v2b_union,correct,,usable,
commons-black-cat-walking,2,v2b_union,correct,,usable,
commons-black-cat-walking,3,v2b_union,correct,,usable,
commons-black-cat-walking,4,v2b_union,correct,,usable,
commons-black-cat-walking,5,v2b_union,correct,,usable,
commons-black-cat-walking,6,v2b_union,correct,,usable,
commons-black-cat-walking,7,v2b_union,correct,,usable,
commons-black-cat-walking,8,v2b_union,correct,,usable,
commons-black-cat-walking,9,v2b_union,correct,,usable,
commons-black-cat-walking,10,v2b_union,correct,,usable,
commons-black-cat-walking,11,v2b_union,correct,,usable,
commons-black-cat-walking,12,v2b_union,correct,,usable,
commons-black-cat-walking,13,v2b_union,correct,,usable,
commons-black-cat-walking,14,v2b_union,correct,,usable,
commons-black-cat-walking,15,v2b_union,correct,,usable,
commons-black-cat-walking,16,v2b_union,correct,,usable,
commons-black-cat-walking,17,v2b_union,correct,,usable,
commons-black-cat-walking,18,v2b_union,correct,,usable,
commons-black-cat-walking,19,v2b_union,correct,,usable,
commons-black-cat-walking,20,v2b_union,correct,,usable,
commons-black-cat-walking,21,v2b_union,correct,,usable,
commons-black-cat-walking,22,v2b_union,correct,,usable,
commons-black-cat-walking,23,v2b_union,correct,,usable,
commons-black-cat-walking,24,v2b_union,correct,,usable,
commons-black-cat-walking,25,v2b_union,correct,,usable,
commons-black-cat-walking,26,v2b_union,correct,,usable,
commons-black-cat-walking,27,v2b_union,correct,,usable,
commons-black-cat-walking,28,v2b_union,correct,,usable,
commons-black-cat-walking,29,v2b_union,correct,,usable,
commons-black-cat-walking,30,v2b_union,correct,,usable,
commons-black-cat-walking,31,v2b_union,correct,,usable,
commons-black-cat-walking,32,v2b_union,wrong_part,other,,auto: box does not match reference (or frame not visible)
commons-black-cat-walking,33,v2b_union,correct,,usable,
commons-black-cat-walking,34,v2b_union,correct,,usable,
commons-black-cat-walking,35,v2b_union,correct,,usable,
commons-black-cat-walking,36,v2b_union,correct,,usable,no reference box; accepted on visibility alone — check by eye
commons-black-cat-walking,37,v2b_union,no_output,,,no_cat
commons-cat-jumping-backwards,0,v2b_union,no_output,,,no_cat
commons-cat-jumping-backwards,1,v2b_union,no_output,,,no_cat
commons-cat-jumping-backwards,2,v2b_union,no_output,,,temporal_none
commons-cat-jumping-backwards,3,v2b_union,no_output,,,temporal_none
commons-cat-jumping-backwards,4,v2b_union,no_output,,,no_tail_box
commons-cat-jumping-backwards,5,v2b_union,no_output,,,temporal_none
commons-cat-jumping-backwards,6,v2b_union,wrong_part,other,,auto: box does not match reference (or frame not visible)
commons-cat-jumping-backwards,7,v2b_union,correct,,usable,
commons-cat-jumping-backwards,8,v2b_union,correct,,usable,
commons-cat-jumping-backwards,9,v2b_union,correct,,usable,
commons-cat-jumping-backwards,10,v2b_union,correct,,usable,
commons-cat-jumping-backwards,11,v2b_union,correct,,usable,
commons-cat-jumping-backwards,12,v2b_union,correct,,usable,
commons-cat-jumping-backwards,13,v2b_union,no_output,,,bidir_empty
commons-cat-jumping-backwards,14,v2b_union,correct,,usable,
commons-cat-jumping-backwards,15,v2b_union,correct,,usable,no reference box; accepted on visibility alone — check by eye
commons-cat-jumping-backwards,16,v2b_union,correct,,usable,
commons-cat-jumping-backwards,17,v2b_union,correct,,usable,
commons-cat-jumping-backwards,18,v2b_union,wrong_part,other,,auto: box does not match reference (or frame not visible)
commons-cat-jumping-backwards,19,v2b_union,wrong_part,other,,auto: box does not match reference (or frame not visible)
commons-cat-jumping-backwards,20,v2b_union,correct,,usable,
commons-cat-jumping-backwards,21,v2b_union,correct,,usable,
commons-cat-jumping-backwards,22,v2b_union,correct,,usable,
commons-cat-jumping-backwards,23,v2b_union,correct,,usable,
commons-cat-licking-tail,0,v2b_union,correct,,usable,
commons-cat-licking-tail,1,v2b_union,correct,,usable,
commons-cat-licking-tail,2,v2b_union,correct,,usable,
commons-cat-licking-tail,3,v2b_union,correct,,usable,
commons-cat-licking-tail,4,v2b_union,correct,,usable,
commons-cat-licking-tail,5,v2b_union,correct,,usable,
commons-cat-licking-tail,6,v2b_union,correct,,usable,
commons-cat-licking-tail,7,v2b_union,correct,,usable,
commons-cat-licking-tail,8,v2b_union,correct,,usable,
commons-cat-licking-tail,9,v2b_union,correct,,usable,
commons-cat-licking-tail,10,v2b_union,correct,,usable,
commons-cat-licking-tail,11,v2b_union,correct,,usable,
commons-cat-licking-tail,12,v2b_union,correct,,usable,
commons-cat-licking-tail,13,v2b_union,correct,,usable,
commons-cat-licking-tail,14,v2b_union,correct,,usable,
commons-cat-licking-tail,15,v2b_union,correct,,usable,
commons-cat-licking-tail,16,v2b_union,correct,,usable,
commons-cat-licking-tail,17,v2b_union,correct,,usable,
commons-cat-licking-tail,18,v2b_union,correct,,usable,
commons-cat-licking-tail,19,v2b_union,correct,,usable,
commons-cat-licking-tail,20,v2b_union,correct,,usable,
commons-cat-licking-tail,21,v2b_union,correct,,usable,
commons-cat-licking-tail,22,v2b_union,correct,,usable,
commons-cat-licking-tail,23,v2b_union,correct,,usable,
commons-cat-licking-tail,24,v2b_union,correct,,usable,
commons-cat-licking-tail,25,v2b_union,correct,,usable,
commons-cat-licking-tail,26,v2b_union,correct,,usable,
commons-cat-licking-tail,27,v2b_union,correct,,usable,no reference box; accepted on visibility alone — check by eye
commons-cat-licking-tail,28,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,29,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,30,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,31,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,32,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,33,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,34,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,35,v2b_union,no_output,,,temporal_none
commons-cat-licking-tail,36,v2b_union,no_output,,,temporal_none
commons-cat-licking-tail,37,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,38,v2b_union,no_output,,,temporal_none
commons-cat-licking-tail,39,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,40,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,41,v2b_union,no_output,,,temporal_none
commons-cat-licking-tail,42,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,43,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,44,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,45,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,46,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,47,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,48,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,49,v2b_union,no_output,,,no_tail_box
commons-cat-licking-tail,50,v2b_union,no_output,,,temporal_none
commons-cat-licking-tail,51,v2b_union,no_output,,,temporal_none
commons-cat-plays,0,v2b_union,no_output,,,temporal_none
commons-cat-plays,1,v2b_union,no_output,,,temporal_none
commons-cat-plays,2,v2b_union,no_output,,,temporal_none
commons-cat-plays,3,v2b_union,no_output,,,temporal_none
commons-cat-plays,4,v2b_union,wrong_part,other,,auto: box does not match reference (or frame not visible)
commons-cat-plays,5,v2b_union,correct,,usable,
commons-cat-plays,6,v2b_union,wrong_part,other,,auto: box does not match reference (or frame not visible)
commons-cat-plays,7,v2b_union,correct,,usable,
commons-cat-plays,8,v2b_union,correct,,usable,
commons-cat-plays,9,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,10,v2b_union,no_output,,,temporal_none
commons-cat-plays,11,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,12,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,13,v2b_union,no_output,,,temporal_none
commons-cat-plays,14,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,15,v2b_union,no_output,,,temporal_none
commons-cat-plays,16,v2b_union,no_output,,,temporal_none
commons-cat-plays,17,v2b_union,no_output,,,temporal_none
commons-cat-plays,18,v2b_union,no_output,,,propagation_rejected
commons-cat-plays,19,v2b_union,correct,,usable,
commons-cat-plays,20,v2b_union,correct,,usable,
commons-cat-plays,21,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,22,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,23,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,24,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,25,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,26,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,27,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,28,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,29,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,30,v2b_union,no_output,,,temporal_none
commons-cat-plays,31,v2b_union,no_output,,,all_look_like_paw
commons-cat-plays,32,v2b_union,no_output,,,all_look_like_paw
